kamar_tidur,luas_bangunan_m2,luas_tanah_m2,kota,harga
4,220,202,tangerang_selatan,5250000000
4,250,180,tangerang_selatan,3950000000
2,60,98,tangerang_selatan,875000000
3,70,72,tangerang_selatan,1470000000
2,90,191,tangerang_selatan,2400000000
3,120,84,tangerang_selatan,1575000000
3,180,119,tangerang_selatan,2900000000
5,170,120,tangerang_selatan,1750000000
4,300,335,tangerang_selatan,4500000000
4,335,430,tangerang_selatan,7500000000
4,250,205,tangerang_selatan,4850000000
2,50,120,tangerang_selatan,760000000
2,42,60,tangerang_selatan,900000000
3,58,60,tangerang_selatan,1030500000
3,90,72,tangerang_selatan,1100000000
3,68,75,tangerang_selatan,1690000000
3,78,65,tangerang_selatan,900000000
2,45,77,tangerang_selatan,775000000
4,131,120,tangerang_selatan,3200000000
2,40,70,tangerang_selatan,680000000
6,120,366,tangerang_selatan,2400000000
4,200,140,tangerang_selatan,5000000000
3,45,100,tangerang_selatan,1450000000
3,62,90,tangerang_selatan,1499000000
4,150,200,tangerang_selatan,2600000000
5,195,225,tangerang_selatan,4200000000
4,104,72,tangerang_selatan,1499000000
6,545,773,tangerang_selatan,33000000000
4,500,695,tangerang_selatan,12000000000
3,108,84,tangerang_selatan,1850000000
3,65,60,tangerang_selatan,953000000
3,118,90,tangerang_selatan,1975000000
5,200,270,tangerang_selatan,4740000000
6,300,323,tangerang_selatan,14500000000
5,112,105,tangerang_selatan,2650000000
4,202,120,tangerang_selatan,3500000000
4,200,180,tangerang_selatan,4250000000
5,220,150,tangerang_selatan,3600000000
6,350,194,tangerang_selatan,5800000000
3,87,84,tangerang_selatan,1800000000
3,60,55,tangerang_selatan,700000000
2,30,50,tangerang_selatan,500000000
2,62,90,tangerang_selatan,1450000000
5,345,225,tangerang_selatan,6500000000
4,230,180,tangerang_selatan,2700000000
3,140,208,tangerang_selatan,4150000000
2,50,72,tangerang_selatan,1080000000
4,120,120,tangerang_selatan,3900000000
5,252,204,tangerang_selatan,5300000000
2,80,82,tangerang_selatan,950000000
4,300,419,tangerang_selatan,4500000000
2,60,50,tangerang_selatan,750000000
5,220,267,tangerang_selatan,2700000000
2,154,72,tangerang_selatan,1850000000
5,200,154,tangerang_selatan,1700000000
5,240,98,tangerang_selatan,1750000000
2,57,60,tangerang_selatan,1500000000
3,117,202,tangerang_selatan,1500000000
4,170,300,tangerang_selatan,6500000000
4,152,249,tangerang_selatan,9335000000
3,112,105,tangerang_selatan,2650000000
4,247,300,tangerang_selatan,6600000000
2,180,97,tangerang_selatan,1500000000
4,163,135,tangerang_selatan,3800000000
4,200,72,tangerang_selatan,1600000000
5,485,328,tangerang_selatan,16000000000
3,80,72,tangerang_selatan,1462000000
3,110,90,tangerang_selatan,3436000000
4,400,1700,tangerang_selatan,30000000000
5,180,105,tangerang_selatan,2800000000
7,160,379,tangerang_selatan,6200000000
4,100,120,tangerang_selatan,2400000000
5,140,427,tangerang_selatan,2150000000
2,65,120,tangerang_selatan,1560000000
4,300,200,tangerang_selatan,4500000000
3,180,140,tangerang_selatan,1900000000
3,187,186,tangerang_selatan,4500000000
3,120,155,tangerang_selatan,2600000000
3,133,180,tangerang_selatan,3800000000
4,85,84,tangerang_selatan,1500000000
2,36,60,tangerang_selatan,528000000
5,450,300,tangerang_selatan,12000000000
3,190,162,tangerang_selatan,2000000000
5,760,549,tangerang_selatan,31000000000
2,140,154,tangerang_selatan,3000000000
6,198,168,tangerang_selatan,1300000000
2,37,64,tangerang_selatan,378000000
5,900,848,tangerang_selatan,18500000000
7,300,359,tangerang_selatan,2800000000
2,41,72,tangerang_selatan,990000000
4,135,144,tangerang_selatan,1800000000
4,163,120,tangerang_selatan,3400000000
2,57,60,tangerang_selatan,1400000000
4,150,236,tangerang_selatan,2000000000
4,165,120,tangerang_selatan,2000000000
3,84,110,tangerang_selatan,2400000000
5,463,300,tangerang_selatan,18763000000
3,65,136,tangerang_selatan,2200000000
3,90,205,tangerang_selatan,2300000000
2,60,59,tangerang_selatan,1000000000
3,107,72,tangerang_selatan,1650000000
4,218,254,tangerang_selatan,5650000000
2,50,47,tangerang_selatan,700000000
5,110,98,tangerang_selatan,2200000000
4,214,246,tangerang_selatan,5500000000
5,144,84,tangerang_selatan,2790000000
3,74,78,tangerang_selatan,850000000
5,200,160,tangerang_selatan,4300000000
4,340,240,tangerang_selatan,3500000000
5,155,198,tangerang_selatan,2800000000
3,90,72,tangerang_selatan,1250000000
2,72,105,tangerang_selatan,1250000000
3,165,84,tangerang_selatan,3450000000
3,150,120,tangerang_selatan,2600000000
4,220,150,tangerang_selatan,2400000000
4,150,138,tangerang_selatan,3000000000
2,105,105,tangerang_selatan,2450000000
5,300,241,tangerang_selatan,6400000000
2,80,180,tangerang_selatan,2400000000
3,137,84,tangerang_selatan,2900000000
4,246,240,tangerang_selatan,5800000000
3,70,60,tangerang_selatan,700000000
2,80,90,tangerang_selatan,1500000000
3,98,84,tangerang_selatan,1250000000
4,90,90,tangerang_selatan,1350000000
3,57,60,tangerang_selatan,750000000
4,150,112,tangerang_selatan,1750000000
3,90,103,tangerang_selatan,960000000
2,45,60,tangerang_selatan,1350000000
3,117,105,tangerang_selatan,2800000000
4,160,150,tangerang_selatan,4500000000
4,210,135,tangerang_selatan,2800000000
5,255,144,tangerang_selatan,5667000000
4,165,153,tangerang_selatan,3850000000
6,198,168,tangerang_selatan,1300000000
3,140,84,tangerang_selatan,1400000000
3,100,60,tangerang_selatan,1922221850
4,500,189,tangerang_selatan,6500000000
4,200,258,tangerang_selatan,5500000000
2,42,60,tangerang_selatan,519200000
3,70,75,tangerang_selatan,959000000
3,106,236,tangerang_selatan,4500000000
2,70,90,tangerang_selatan,1350000000
3,130,160,tangerang_selatan,3250000000
4,255,135,tangerang_selatan,2500000000
3,158,105,tangerang_selatan,2150000000
3,70,60,tangerang_selatan,900000000
3,88,78,tangerang_selatan,1350000000
2,50,84,tangerang_selatan,1470000000
2,80,98,tangerang_selatan,1690000000
3,70,65,tangerang_selatan,750000000
3,103,140,tangerang_selatan,1990000000
3,161,105,tangerang_selatan,2950000000
4,160,135,tangerang_selatan,3100000000
3,80,85,tangerang_selatan,2400000000
3,83,72,tangerang_selatan,2100000000
4,200,200,tangerang_selatan,3000000000
5,300,255,tangerang_selatan,6100000000
4,250,205,tangerang_selatan,5200000000
3,200,146,tangerang_selatan,4250000000
4,200,308,tangerang_selatan,8000000000
3,65,60,tangerang_selatan,900000000
3,70,60,tangerang_selatan,839000000
3,70,75,tangerang_selatan,800000000
3,66,60,tangerang_selatan,1400000000
3,144,120,tangerang_selatan,1340000000
2,100,107,tangerang_selatan,910000000
2,39,70,tangerang_selatan,823000000
4,160,241,tangerang_selatan,4500000000
5,216,153,tangerang_selatan,3600000000
2,65,120,tangerang_selatan,1000000000
5,240,310,tangerang_selatan,7500000000
3,69,76,tangerang_selatan,888300000
2,60,53,tangerang_selatan,1000000000
5,180,160,tangerang_selatan,1550000000
3,44,36,tangerang_selatan,700000000
5,170,144,tangerang_selatan,2200000000
4,180,120,tangerang_selatan,3850000000
3,120,128,tangerang_selatan,1980000000
3,80,100,tangerang_selatan,780000000
3,120,108,tangerang_selatan,1425000000
3,69,127,tangerang_selatan,1300000000
5,150,120,tangerang_selatan,1525000000
5,283,216,tangerang_selatan,6934600000
4,283,216,tangerang_selatan,7500000000
3,79,63,tangerang_selatan,1780000000
3,200,127,tangerang_selatan,2950000000
4,120,90,tangerang_selatan,1650000000
4,135,98,tangerang_selatan,2300000000
5,96,96,tangerang_selatan,2250000000
3,150,131,tangerang_selatan,2600000000
3,180,132,tangerang_selatan,3000000000
4,100,90,tangerang_selatan,1700000000
5,250,150,tangerang_selatan,4300000000
2,99,75,tangerang_selatan,1030000000
4,137,84,tangerang_selatan,2888000000
5,255,144,tangerang_selatan,5666000000
3,70,60,tangerang_selatan,800000000
3,70,60,tangerang_selatan,800000000
3,80,60,tangerang_selatan,1280000000
3,70,60,tangerang_selatan,800000000
4,300,180,tangerang_selatan,2350000000
4,137,84,tangerang_selatan,2988000000
3,120,155,tangerang_selatan,2600000000
4,156,135,tangerang_selatan,3800000000
3,106,236,tangerang_selatan,4500000000
2,80,96,tangerang_selatan,1750000000
3,260,329,tangerang_selatan,6000000000
3,70,60,tangerang_selatan,800000000
3,70,60,tangerang_selatan,839000000
3,150,160,tangerang_selatan,2600000000
4,244,204,tangerang_selatan,4990000000
2,78,78,tangerang_selatan,750000000
3,68,60,tangerang_selatan,1250000000
5,184,195,tangerang_selatan,6910000000
7,300,255,tangerang_selatan,6500000000
6,250,300,tangerang_selatan,5500000000
2,54,62,tangerang_selatan,895000000
2,54,62,tangerang_selatan,700000000
3,70,60,tangerang_selatan,700000000
3,70,60,tangerang_selatan,839000000
2,36,60,tangerang_selatan,830000000
3,108,84,tangerang_selatan,1850000000
3,175,250,tangerang_selatan,4100000000
3,210,175,tangerang_selatan,2950000000
3,150,160,tangerang_selatan,3800000000
3,126,84,tangerang_selatan,2700000000
4,248,180,tangerang_selatan,5300000000
3,250,120,tangerang_selatan,3300000000
4,200,225,tangerang_selatan,4180000000
3,78,117,tangerang_selatan,1791000000
3,85,62,tangerang_selatan,1400000000
4,105,180,tangerang_selatan,2700000000
3,70,84,tangerang_selatan,1350000000
5,210,154,tangerang_selatan,2700000000
2,68,72,tangerang_selatan,1550000000
5,450,300,tangerang_selatan,6200000000
3,66,60,tangerang_selatan,799000000
