title,lokasi,harga,kamar_tidur,luas_bangunan_m2,luas_tanah_m2
Dijual Rumah Mewah Posisi Hoek The Icon BSD City,"Bumi Serpong Damai, Tangerang Selatan",Rp5.250.000.000,4,220 m²,202 m²
"Rumah Minimalis Modern 2 Lantai Bintaro Sektor 9, Tanggerang Selatan","Bintaro, Tangerang Selatan",Rp3.950.000.000,4,250 m²,180 m²
Rumah Asri Siap Huni,"Pamulang, Tangerang Selatan",Rp875.000.000,2,60 m²,98 m²
dijual rumah lokasi pamulang harga all in bisa kpr,"Pamulang, Tangerang Selatan",Rp1.470.000.000,3,70 m²,72 m²
"Rumah Minimalis, Megah & Murah di Bintaro Sektor 9, Tanggerang Selatan","Bintaro, Tangerang Selatan",Rp2.400.000.000,2,90 m²,191 m²
Dijual Rumah 2lt Siap Huni Kencana Loka BSD,"Bumi Serpong Damai, Tangerang Selatan",Rp1.575.000.000,3,120 m²,84 m²
Dijual Rumah Renovasi 2lt Delatinos BSD City,"Bumi Serpong Damai, Tangerang Selatan",Rp2.900.000.000,3,180 m²,119 m²
Dijual Murah Rumah 2lt Villa Melati Mas Serpong,"Serpong Utara, Tangerang Selatan",Rp1.750.000.000,5,170 m²,120 m²
Dijual Rumah Mandiri Hoek Ada Pool Delatinos BSD City,"Bumi Serpong Damai, Tangerang Selatan",Rp4.500.000.000,4,300 m²,335 m²
RUMAH BINTARO SEKTOR9 Tangerang MODERN MINIMALIS UNFURNISHED SHM,"Bintaro, Tangerang Selatan",Rp7.500.000.000,4,335 m²,430 m²
Dijual Rumah Hoek 2 Lantai di The Green BSD Cluster Vineyard,"Serpong, Tangerang Selatan",Rp4.850.000.000,4,250 m²,205 m²
"Dijual Rumah Kondisi Baru,Strategis",Tangerang Selatan,Rp2.300.000.000,3,135 m²,90 m²
P. Tanah 120m² Ready Stok Free Biaya2 Sampai SHM At Pamulang Tangsel,"Pamulang, Tangerang Selatan",Rp760.000.000,2,50 m²,120 m²
Rumah di Serpong Paradise 1 lantai dalam Cluster,"Setu, Tangerang Selatan",Rp900.000.000,2,42 m²,60 m²
"Rumah 2 Lantai DP Hanya 5 Juta Free All in Serpon, Tangerang","Serpong, Tangerang Selatan",Rp1.030.500.000,3,58 m²,60 m²
Dijual Rumah Type Minimalist Modern di Pamulang,"Pamulang Barat, Tangerang Selatan",Rp1.100.000.000,3,90 m²,72 m²
DIJUAL RUMAH KPR DP 0% TIPE KIANO BELLEZA GRAHARAYA TANGERANG SELATAN.,"Bintaro, Tangerang Selatan",Rp1.690.000.000,3,68 m²,75 m²
Rumah Baru 2 Lantai Di Pondok Cabe,"Pondok Cabe, Tangerang Selatan",Rp900.000.000,3,78 m²,65 m²
Dijual Rumah di Serua Indah Ciputat SHM 600jtan saja FREE BPHTB & BBN,"Ciputat, Tangerang Selatan",Rp775.000.000,2,45 m²,77 m²
dijual rumah di BSD,"Bumi Serpong Damai, Tangerang Selatan",Rp3.200.000.000,4,131 m²,120 m²
Dijual Rumah Murah di Pamulang,"Pamulang, Tangerang Selatan",Rp680.000.000,2,40 m²,70 m²
"DIJUAL CEPAT RUMAH KOST GRIYA LOKA BSD CITY, AN","Bumi Serpong Damai, Tangerang Selatan",Rp2.400.000.000,6,120 m²,366 m²
Dijual Rumah Bagus Cluster DI Alam Sutera,"Alam Sutera, Tangerang Selatan",Rp5.000.000.000,4,200 m²,140 m²
Rumah Dijual Pamulang Angsuran Murah Mulai 7 Jtan Lengkap Cctv,"Cirendeu, Tangerang Selatan",Rp1.450.000.000,3,45 m²,100 m²
Dijual Rumah Siap Huni di Griya Loka Bsd Free Biaya2 Sampai Balik Nama,"Bumi Serpong Damai, Tangerang Selatan",Rp1.499.000.000,3,62 m²,90 m²
"Rumah Siap Huni 1,5 Lantai Di Bsd","Serpong, Tangerang Selatan",Rp2.600.000.000,4,150 m²,200 m²
Rumah Cantik Nyaman dengan K. Renang dalam Cluster di Legoso Ciputat,"Ciputat, Tangerang Selatan",Rp4.200.000.000,5,195 m²,225 m²
Rumah Skandinavia 2 Lantai Ada Rooftop Bintaro Pondok Aren,"Bintaro, Tangerang Selatan",Rp1.499.000.000,4,104 m²,72 m²
DI JUAL RUMAH MEWAH HOOK DI LYNDON NAVAPARK BSD,"Bumi Serpong Damai, Tangerang Selatan",Rp33.000.000.000,6,545 m²,773 m²
"Dijual Rumah di Giri Loka, BSD City","Serpong Utara, Tangerang Selatan",Rp12.000.000.000,4,500 m²,695 m²
Dijual rumah tinggal dikawasan Tangerang Selatan Pondok Aren,Tangerang Selatan,Rp8.500.000.000,4,250 m²,360 m²
Dijual Cepat Rumah 2 Lantai Berkonsep Bali di Kencana Loka BSD,"Bumi Serpong Damai, Tangerang Selatan",Rp1.850.000.000,3,108 m²,84 m²
Rumah Industrial Modern Selera Milenial Siap Huni Pamulang,"Bambu Apus, Tangerang Selatan",Rp953.000.000,3,65 m²,60 m²
"Rumah Baru Dijual di Griya Loka Sektor 1.6, BSD City","Serpong, Tangerang Selatan",Rp1.975.000.000,3,118 m²,90 m²
DI JUAL RUMAH CLUSTER Provence Park Lane BSD CITY,"Bumi Serpong Damai, Tangerang Selatan",Rp4.740.000.000,5,200 m²,270 m²
Rumah Mewah American Classic Siap Huni Kebayoran Residence Bintaro,"Bintaro, Tangerang Selatan",Rp14.500.000.000,6,300 m²,323 m²
Dijual Rumah 2lt Siap Huni di Discovery Bintaro Jaya Sektor 9,"Bintaro, Tangerang Selatan",Rp2.650.000.000,5,112 m²,105 m²
Rumah di Serpong Paradise 1 lantai dalam Cluster,"Setu, Tangerang Selatan",Rp900.000.000,2,42 m²,60 m²
P. Tanah 120m² Ready Stok Free Biaya2 Sampai SHM At Pamulang Tangsel,"Pamulang, Tangerang Selatan",Rp760.000.000,2,50 m²,120 m²
"Dijual Rumah Kondisi Baru,Strategis",Tangerang Selatan,Rp2.300.000.000,3,135 m²,90 m²
